,Название,Дата начала,Дата окончания,Статус,Организатор
92," Закуп канцелярских товаров, шариковая ручка на основании заявки № 54/21 ОТ 18.02.2021",18.02.2021 16:20,23.02.2021 16:20,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
93," Закуп зимних шин, на основании заявки № 54/21 ОТ 18.02.2021",18.02.2021 16:10,23.02.2021 16:20,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
94," Заявка на закуп оборудования (осциллограф, измеритель и прочее) по проектам для СК, согласно заявке №50/21 от 18.02.21г.",18.02.2021 14:30,23.02.2021 14:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
95," Заявка на приобретение соли технической и песка природного, согласно заявке №49/21 от 18.02.21г.",18.02.2021 14:00,23.02.2021 14:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
96," Закупка товара для Казахстанской Морской Академии АО ""КБТУ"", согласно заявке от 17.02.2021г.",17.02.2021 11:00,22.02.2021 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
97," Заявка на приобретение химических реагентов и материалов для НОЦ М и ПК, согласно заявке №46/21 от 15.02.2021г.",15.02.2021 15:45,18.02.2021 15:46,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
98," Закуп ортопедических матрасов для ДМиС АО ""КБТУ"", согласно заявке № 20/21 от 27.01.2021г.",12.02.2021 16:15,17.02.2021 16:15,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
99," Закупка услуг по дезинсекции и дератизации помещений ДМиС и КБТУ, согласно заявкам № 9/21 от 18.01.2021г. и № 38/21 от 10.02.2021г.",11.02.2021 11:30,16.02.2021 11:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
100," Закуп услуг по аттестации рабочих мест труда по условиям труда, согласно заявке № 28/21 от 03.02.2021г.",11.02.2021 11:07,16.02.2021 11:07,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
101," Закуп услуг по сдаче отчетов по выбросам в атмосферу, согласно заявке № 28/21 от 03.02.2021г.",11.02.2021 11:00,16.02.2021 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
102," Закуп услуг по утилизации отработанных химических веществ, согласно заявке № 28/21 от 03.02.2021г.",11.02.2021 11:00,16.02.2021 11:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
103," Закупка товара для Казахстанской Морской Академии АО ""КБТУ"", согласно заявке № 25/21 от 02.02.2021г.",11.02.2021 10:30,16.02.2021 10:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
104," Закупка товара для Казахстанской Морской Академии АО ""КБТУ"", согласно заявке № 25/21 от 02.02.2021г.",11.02.2021 10:00,16.02.2021 10:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
105," Заявка на закупку услуг по обработке ортопедических матрасов в ДМиС, на основании заявки № 9/21 ОТ 18.01.2021",10.02.2021 17:40,15.02.2021 17:40,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
106," Заявка на приобретение электронного ключа для 1С, согласно заявке №34/21 от 08.02.2021г.",08.02.2021 14:49,11.02.2021 14:50,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
107," Заявка на приобретение услуг оказание услуг по ремонту бытовой техники в ДМиС, согласно заявке  № 9/21 ОТ 18.01.2021",08.02.2021 12:00,11.02.2021 12:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
108, Закуп спецодежды для Эксплуатационно-Хозяйственного Департамента  согласно заявке № 16/21 ОТ 26.01.2021,08.02.2021 12:00,11.02.2021 12:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
109," Закуп литературы, согласно заявке  № 24/21 ОТ 02.02.2021",08.02.2021 12:00,11.02.2021 12:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
110," Закуп зимних шин, на основании заявки № 32/21 ОТ 05.02.2021",08.02.2021 12:00,11.02.2021 12:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
111," Закупка спецпитания для сотрудников работающих во вредных условиях (молоко), согласно заявке № 26/21 от 03.02.2021г.",05.02.2021 15:00,10.02.2021 15:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
112," Заявка на обслуживание счетчиков тепла в ДМиС и ЭХД, согласно заявкам №29/21, 30/21 от 05.02.2021г.",05.02.2021 12:55,10.02.2021 12:56,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
113," Заявка на приобретение государственного флага РК и радиатора, согласно заявке №29/21 от 05.02.2021г.",05.02.2021 12:07,10.02.2021 12:08,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
114," Закупка товара для Казахстанской Морской Академии АО ""КБТУ"", согласно заявке № 25/21 от 02.02.2021г.",03.02.2021 00:00,06.02.2021 00:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
115, Закуп спецодежды для Эксплуатационно-Хозяйственного Департамента  согласно заявке № 16/21 ОТ 26.01.2021,28.01.2021 10:30,02.02.2021 10:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
116," Закуп переводческих услуг, согласно заявке № 18/21 от 27.01.2021г.",27.01.2021 17:10,01.02.2021 17:10,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
117," Закупка услуг в области обслуживания пожарной системы ДМиС и КБТУ, согласно заявке № 8/21 и 9/21 от 18.01.2021г.",27.01.2021 16:00,01.02.2021 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
118," Закупка товара для Научной библиотеки АО ""КБТУ"", согласно заявке № 13/21 от 26.01.2021г.",27.01.2021 15:00,01.02.2021 15:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
119," Заявка на приобретение расходных материалов и запасных частей для ИЦ, согласно заявке №17/21 от 27.01.2021г.",27.01.2021 14:30,01.02.2021 14:31,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
120," Закуп хозяйственных товаров для ЭХД, согласно заявке № 16-21 от 26.01.2021г.",27.01.2021 00:00,01.02.2021 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
121," Заявка на приобретение фоторамок согласно, заявке ЭХД № 11/21 ОТ 19.01.2021",26.01.2021 14:40,29.01.2021 14:40,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
122," Заявка на приобретение хозяйственных товаров для обслуживания корпусов ДМиС, согласно заявке № 6/21 ОТ 18.01.2021",25.01.2021 17:35,28.01.2021 17:36,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
123, Заявка на приобретение услуг по выездному обслуживанию (кейтеринг),25.01.2021 11:30,28.01.2021 11:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
124," Заявка на приобретение услуг оказание услуг по ремонту бытовой техники в ДМиС, согласно заявке  № 9/21 ОТ 18.01.2021",21.01.2021 14:30,26.01.2021 14:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
125," Заявка на приобретение услуг на оказание услуг Прачечной для ДМиС, согласно заявке  № 9/21 ОТ 18.01.2021",21.01.2021 14:30,26.01.2021 14:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
126," Заявка  на приобретение расходных материалов для твердого переплета, согласно заявке № 10/21 ОТ 20.01.2021",21.01.2021 12:00,26.01.2021 12:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
127," Заявка на приобретение услуг по техническому обслуживанию лифтов, согласно заявке № 8/21 ОТ 18.01.2021",21.01.2021 11:40,26.01.2021 11:40,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
128," Заявка на приобретение услуг по обслуживанию принтеров и заправке/замене картриджей, согласно заявке ПР-33 13.01.2021",21.01.2021 11:30,26.01.2021 11:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
129," Заявка на услуги телекоммуникации, согласно заявке №12/21 от 19.01.21г.",20.01.2021 16:45,25.01.2021 16:46,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
